"Timestamp","Username","Please select your ASURITE ID","Please enter your Github username (NOT your email address), I need to be able to map this username easily to your name or asurite","Email address for us to invite you to the Taiga scrumboard","In what time zone do you live or will you be during the session? Please use UTC so we can match it easier.","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [0:00 AM - 3:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [3:00 AM - 6:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [6:00 AM - 9:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [9:00 AM - 12:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [12:00 PM - 3:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [3:00 PM - 6:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [6:00 PM - 9:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [9:00 PM - 12:00 PM]","Preferred team member 1","Preferred team member 2","Preferred team member 3","Preferred team member 4","Non-preferred student 1","Non-preferred student 2","Non-preferred student 3"
"2022/01/11 12:03:58 PM MST","asurite13@asu.edu","asurite13","A_13","A13@gmail.com","UTC -7","Sunday;Saturday","Sunday;Saturday","Sunday;Saturday","Sunday;Monday;Wednesday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","asurite25","asurite33","asurite14","asurite15","asurite16","asurite3","asurite51"
"2022/01/11 12:04:43 PM MST","asurite14@asu.edu","asurite14","A_14","A14@gmail.com","UTC -7","Sunday;Saturday","Sunday;Saturday","Sunday;Saturday","Sunday;Monday;Wednesday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","asurite15","asurite13","asurite25","asurite33","asurite50","asurite51","asurite16"
"2022/01/11 12:05:13 PM MST","asurite15@asu.edu","asurite15","A_15","A15@gmail.com","UTC -7","Sunday;Saturday","Sunday;Saturday","Sunday;Saturday","Sunday;Monday;Wednesday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","asurite13","asurite14","asurite33","asurite25","asurite50","asurite51","asurite16"
"2022/01/11 1:35:12 PM MST","asurite16@asu.edu","asurite16","A_16","A16@gmail.com","UTC -7","","","Sunday;Monday;Wednesday;Saturday","Saturday","","Saturday","Monday;Wednesday;Thursday;Saturday","","asurite20","","","","asurite3","",""
"2022/01/11 5:55:32 PM MST","asurite17@asu.edu","asurite17","A_17","A17@gmail.com","UTC -8","","","","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","","","asurite7","asurite29","asurite1","asurite11","","",""
"2022/01/12 10:39:05 AM MST","asurite18@asu.edu","asurite18","A_18","A18@gmail.com","UTC -7","","","","Tuesday;Thursday;Friday","Monday;Wednesday;Friday","Friday","","","asurite25","asurite17","asurite12","asurite5","asurite50","asurite43","asurite15"
"2022/01/12 10:39:15 AM MST","asurite19@asu.edu","asurite19","A_19","A19@gmail.com","UTC -7","","","","Sunday","Sunday;Saturday","Sunday;Saturday","Sunday;Monday;Tuesday;Thursday;Friday;Saturday","","asurite18","asurite5","asurite47","asurite12","","",""
"2022/01/12 10:42:24 AM MST","asurite20@asu.edu","asurite20","A_20","A20@gmail.com","UTC -7","","","Sunday;Tuesday;Thursday;Saturday","Sunday;Saturday","Sunday;Saturday","Sunday;Tuesday;Wednesday;Thursday;Saturday","Sunday;Tuesday;Wednesday;Thursday;Saturday","Sunday;Tuesday;Wednesday;Thursday;Saturday","asurite23","asurite15","asurite13","asurite35","asurite37","asurite28","asurite50"
"2022/01/12 10:42:53 AM MST","asurite21@asu.edu","asurite21","A_21","A21@gmail.com","UTC -7","Sunday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","asurite33","asurite13","asurite25","asurite15","","",""
"2022/01/12 10:43:09 AM MST","asurite22@asu.edu","asurite22","A_22","A22@gmail.com","UTC -7","","","","Sunday","Sunday","Sunday;Monday;Wednesday","Sunday;Monday;Wednesday;Thursday","Sunday;Monday;Wednesday;Thursday","asurite32","asurite44","asurite34","asurite43","","",""
"2022/01/12 10:50:13 AM MST","asurite23@asu.edu","asurite23","A_23","A23@gmail.com","UTC -7","","","","Sunday;Tuesday;Thursday;Friday;Saturday","Sunday;Monday;Wednesday;Friday;Saturday","Sunday;Friday;Saturday","Monday;Tuesday;Wednesday;Thursday","","asurite20","asurite48","asurite13","","asurite51","",""
"2022/01/12 10:53:33 AM MST","asurite24@asu.edu","asurite24","A_24","A24@gmail.com","UTC -7","","","","Sunday;Tuesday;Thursday;Friday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday","Friday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday","Monday;Tuesday;Wednesday;Thursday","","","","","","",""
"2022/01/12 11:29:42 AM MST","asurite25@asu.edu","asurite25","A_25","A25@gmail.com","UTC -7","Sunday;Saturday","Sunday;Saturday","Sunday;Saturday","Sunday;Monday;Wednesday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","asurite13","asurite33","asurite14","asurite15","asurite37","asurite3","asurite50"
"2022/01/12 12:07:55 PM MST","asurite26@asu.edu","asurite26","A_26","A26@gmail.com","UTC -7","","","","Sunday;Tuesday;Thursday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Friday;Saturday","Monday;Tuesday;Wednesday;Friday;Saturday","Sunday;Friday;Saturday","asurite23","asurite27","asurite37","asurite7","asurite51","asurite3",""
"2022/01/12 1:28:36 PM MST","asurite27@asu.edu","asurite27","A_27","A27@gmail.com","UTC -7","","","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Tuesday;Thursday;Friday;Saturday","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Friday;Saturday","Monday;Wednesday;Friday;Saturday","","asurite11","","","","asurite3","asurite51","asurite28"
"2022/01/12 1:35:17 PM MST","asurite28@asu.edu","asurite28","A_28","A28@gmail.com","UTC -7","","","Thursday;Friday","","Sunday","","","","asurite45","asurite19","asurite50","asurite29","asurite15","asurite33","asurite2"
"2022/01/12 1:48:51 PM MST","asurite29@asu.edu","asurite29","A_29","A29@gmail.com","UTC -7","","","Monday;Tuesday;Wednesday;Thursday;Friday","Tuesday;Thursday;Friday","Monday;Tuesday;Wednesday;Thursday;Friday","Friday","Monday;Tuesday;Wednesday;Thursday;Friday","","asurite11","asurite1","asurite17","asurite7","asurite50","asurite28","asurite3"
"2022/01/12 2:28:17 PM MST","asurite30@asu.edu","asurite30","A_30","A30@gmail.com","UTC -7","","","","","Monday;Tuesday;Wednesday;Thursday","Friday;Saturday","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","","asurite31","asurite32","asurite44","asurite34","","",""
"2022/01/12 2:29:04 PM MST","asurite31@asu.edu","asurite31","A_31","A31@gmail.com","UTC +7","","","Sunday;Tuesday;Thursday;Friday;Saturday","Sunday;Tuesday;Thursday;Saturday","Sunday;Wednesday;Saturday","Sunday;Tuesday;Thursday;Friday;Saturday","Sunday;Tuesday;Thursday;Friday;Saturday","","asurite34","asurite44","asurite32","asurite30","","",""
"2022/01/12 3:05:50 PM MST","asurite32@asu.edu","asurite32","A_32","A32@gmail.com","UTC -7","","","","Tuesday;Thursday","Tuesday;Thursday","","Monday;Tuesday;Wednesday;Thursday","Monday;Tuesday;Wednesday;Thursday","asurite44","asurite31","asurite30","asurite34","","",""
"2022/01/12 4:37:58 PM MST","asurite33@asu.edu","asurite33","A_33","A33@gmail.com","UTC -7","","","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","asurite25","asurite15","asurite21","asurite13","","",""
"2022/01/13 1:27:46 PM MST","asurite34@asu.edu","asurite34","A_34","A34@gmail.com","UTC -7","","","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday","Sunday;Saturday","Sunday;Saturday","Sunday;Tuesday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","","asurite31","asurite44","asurite32","asurite30","asurite22","asurite43",""
"2022/01/13 4:50:09 PM MST","asurite35@asu.edu","asurite35","A_35","A35@gmail.com","UTC -7","","","","Saturday","Sunday;Monday;Wednesday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","asurite4","asurite6","asurite10","","asurite51","",""
"2022/01/13 9:24:11 PM MST","asurite36@asu.edu","asurite36","A_36","A36@gmail.com","UTC -7","","","","Tuesday;Thursday;Friday;Saturday","Friday;Saturday","Sunday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","asurite47","asurite43","asurite6","asurite9","","",""
"2022/01/13 9:58:28 PM MST","asurite37@asu.edu","asurite37","A_37","A37@gmail.com","UTC -7","","","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Wednesday;Friday;Saturday","Sunday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","asurite50","asurite41","asurite6","asurite26","","",""
"2022/01/14 11:01:46 AM MST","asurite38@asu.edu","asurite38","A_38","A38@gmail.com","UTC -7","","","","Friday;Saturday","Saturday","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Monday;Tuesday;Wednesday;Thursday","","","","","","","",""
"2022/01/14 3:04:23 PM MST","asurite39@asu.edu","asurite39","A_39","A39@gmail.com","UTC -7","","","","","Sunday;Tuesday;Thursday;Friday;Saturday","Sunday;Tuesday;Thursday;Friday;Saturday","Sunday;Tuesday;Thursday;Friday;Saturday","","asurite5","asurite29","","","","",""
"2022/01/14 7:54:27 PM MST","asurite40@asu.edu","asurite40","A_40","A40@gmail.com","UTC -7","","","Sunday;Friday;Saturday","","","","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","asurite45","asurite9","asurite18","asurite12","asurite50","asurite28","asurite52"
"2022/01/16 3:24:53 PM MST","asurite41@asu.edu","asurite41","A_41","A41@gmail.com","UTC -7","","","","","Friday","Monday;Wednesday;Friday","","","","","","","","",""
"2022/01/16 5:36:06 PM MST","asurite42@asu.edu","asurite42","A_42","A42@gmail.com","UTC -7","","","","Friday","Friday","Tuesday;Thursday;Friday","Monday;Tuesday;Wednesday;Thursday;Friday","","","","","","","",""
"2022/01/16 6:10:26 PM MST","asurite43@asu.edu","asurite43","A_43","A43@gmail.com","UTC -7","","","","Sunday;Friday","Sunday;Friday","Sunday;Monday;Wednesday;Friday","Sunday;Monday;Wednesday;Friday;Saturday","Sunday;Monday;Wednesday;Friday;Saturday","asurite22","asurite34","asurite44","asurite32","asurite3","",""
"2022/01/16 6:39:03 PM MST","asurite44@asu.edu","asurite44","A_44","A44@gmail.com","UTC -7","","","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Tuesday;Thursday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Tuesday;Thursday;Friday;Saturday","","asurite30","asurite32","asurite31","asurite34","","",""
"2022/01/16 7:24:11 PM MST","asurite45@asu.edu","asurite45","A_45","A45@gmail.com","UTC -7","","","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Monday;Tuesday;Thursday","Tuesday;Thursday","Sunday;Monday;Wednesday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","asurite40","asurite9","asurite12","asurite20","asurite28","asurite52","asurite51"
"2022/01/16 8:35:02 PM MST","asurite46@asu.edu","asurite46","A_46","A46@gmail.com","UTC -7","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Tuesday;Thursday","Monday;Wednesday","Sunday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Tuesday;Thursday;Friday;Saturday","asurite50","","","","","",""
"2022/01/16 9:56:31 PM MST","asurite47@asu.edu","asurite47","A_47","A47@gmail.com","UTC -7","","","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Tuesday;Thursday;Friday;Saturday","Tuesday;Thursday;Friday;Saturday","Monday;Wednesday;Friday;Saturday","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","","asurite19","asurite12","","","","",""
"2022/01/17 1:11:35 AM MST","asurite48@asu.edu","asurite48","A_48","A48@gmail.com","UTC -7","","","","Sunday;Friday;Saturday","Sunday;Wednesday;Saturday","Sunday;Saturday","Sunday;Monday;Tuesday;Wednesday;Saturday","Sunday;Saturday","asurite23","asurite20","","","asurite37","asurite4","asurite51"
"2022/01/18 12:07:06 PM MST","asurite49@asu.edu","asurite49","A_49","A49@gmail.com","UTC +0","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Tuesday;Thursday;Friday;Saturday","","Wednesday","Tuesday;Wednesday;Thursday","Tuesday;Wednesday;Thursday","","","","","","",""
"2022/01/18 2:12:32 PM MST","asurite50@asu.edu","asurite50","A_50","A50@gmail.com","UTC -7","","","","Sunday;Friday;Saturday","Sunday;Monday;Wednesday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","","asurite43","asurite46","asurite29","asurite5","","",""
