Timestamp,Username,Please select your ASURITE ID,Please enter your Github username (NOT your email address),Email address for us to invite you to the Taiga scrumboard,In what time zone do you live or will you be during the session? Please use UTC so we can match it easier.,"Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [0:00 AM - 3:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [3:00 AM - 6:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [6:00 AM - 9:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [9:00 AM - 12:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [12:00 PM - 3:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [3:00 PM - 6:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [6:00 PM - 9:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [9:00 PM - 12:00 PM]",Preferred team member 1,Preferred team member 2,Preferred team member 3,Preferred team member 4,Non-preferred student 1,Non-preferred student 2,Non-preferred student 3
2022/03/14 8:42:01 AM MDT,asurite39@asu.edu,asurite39,A_39,A39@gmail.com,UTC -7,,,Monday;Tuesday;Wednesday;Thursday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Monday;Tuesday;Wednesday;Thursday,Monday;Tuesday;Wednesday;Thursday,asurite73,asurite71,asurite57,,asurite66,,
2022/03/14 8:45:11 AM MDT,asurite40@asu.edu,asurite40,A_40,A40@gmail.com,UTC -5,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,,,,
2022/03/14 8:48:29 AM MDT,asurite41@asu.edu,asurite41,A_41,A41@gmail.com,UTC -4,,Sunday;Monday;Tuesday;Wednesday,Sunday;Monday;Wednesday,Sunday;Monday;Tuesday;Wednesday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,,
2022/03/14 9:37:03 AM MDT,asurite42@asu.edu,asurite42,A_42,A42@gmail.com,UTC +4,,,,Monday;Tuesday;Wednesday;Thursday;Friday,Monday;Tuesday;Wednesday;Thursday,Monday;Tuesday;Wednesday;Thursday,,,,,,,,,
2022/03/14 9:54:46 AM MDT,asurite43@asu.edu,asurite43,A_43,A43@gmail.com,UTC -5,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday,Sunday,Sunday,Sunday;Monday;Tuesday;Friday,Sunday;Monday;Tuesday;Friday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,asurite47,asurite49,,,asurite30,,
2022/03/14 10:21:01 AM MDT,asurite44@asu.edu,asurite44,A_44,A44@gmail.com,UTC -4,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,asurite122,,asurite26,,,,
2022/03/14 10:33:51 AM MDT,asurite45@asu.edu,asurite45,A_45,A45@gmail.com,UTC -5,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,asurite73,asurite79,,,asurite29,,
2022/03/14 10:34:45 AM MDT,asurite46@asu.edu,asurite46,A_46,A46@gmail.com,UTC -6,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,asurite54,,,,,,
2022/03/14 10:58:49 AM MDT,asurite47@asu.edu,asurite47,A_47,A47@gmail.com,UTC -8,,,,Monday;Tuesday;Wednesday;Thursday;Friday,Monday;Tuesday;Wednesday;Thursday;Friday,Monday;Tuesday;Wednesday;Thursday;Friday,Monday;Tuesday;Wednesday;Thursday;Friday,Monday;Tuesday;Wednesday;Thursday;Friday,,,,,,,
2022/03/14 11:35:34 AM MDT,asurite48@asu.edu,asurite48,A_48,A48@gmail.com,UTC -7,,,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Saturday,asurite76,,,,asurite130,,
2022/03/14 11:50:54 AM MDT,asurite49@asu.edu,asurite49,A_49,A49@gmail.com,UTC -7,,,,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday,asurite43,,,,,,
2022/03/14 12:40:37 PM MDT,asurite50@asu.edu,asurite50,A_50,A50@gmail.com,UTC -5,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Monday;Friday,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,,
2022/03/14 12:47:30 PM MDT,asurite51@asu.edu,asurite51,A_51,A51@gmail.com,UTC -7,,,,Tuesday,Tuesday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,,
2022/03/14 1:00:28 PM MDT,asurite52@asu.edu,asurite52,A_52,A52@gmail.com,UTC -8,,,,,Monday;Tuesday;Wednesday;Thursday;Friday,Monday;Tuesday;Wednesday;Thursday;Friday,Monday;Tuesday;Wednesday;Thursday;Friday,,,,,,,,
2022/03/14 1:13:18 PM MDT,asurite53@asu.edu,asurite53,A_53,A53@gmail.com,UTC -7,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,Monday;Tuesday;Wednesday;Friday,Monday;Tuesday;Wednesday;Friday,Saturday,Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,asurite57,asurite66,,,,,
2022/03/14 1:34:31 PM MDT,asurite54@asu.edu,asurite54,A_54,A54@gmail.com,UTC -5,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,asurite46,asurite131,,,,,
2022/03/14 1:35:51 PM MDT,asurite55@asu.edu,asurite55,A_55,A55@gmail.com,UTC +3,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,asurite43,,,,,,
2022/03/14 1:48:36 PM MDT,asurite56@asu.edu,asurite56,A_56,A56@gmail.com,UTC -4,,,,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,asurite8,asurite81,
2022/03/14 2:30:05 PM MDT,asurite57@asu.edu,asurite57,A_57,A57@gmail.com,UTC -5,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,asurite8,asurite71,asurite30,asurite39,asurite66,asurite132,asurite89
2022/03/14 2:58:39 PM MDT,asurite58@asu.edu,asurite58,A_58,A58@gmail.com,UTC +2,,,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,asurite1,asurite5,asurite41,asurite70,,,
2022/03/14 2:59:15 PM MDT,asurite59@asu.edu,asurite59,A_59,A59@gmail.com,UTC -7,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,
2022/03/14 3:08:43 PM MDT,asurite60@asu.edu,asurite60,A_60,A60@gmail.com,UTC -7,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,asurite33,,
2022/03/14 3:37:42 PM MDT,asurite61@asu.edu,asurite61,A_61,A61@gmail.com,UTC -7,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,asurite72,asurite34,asurite101,asurite6,asurite58,,
2022/03/14 3:43:58 PM MDT,asurite62@asu.edu,asurite62,A_62,A62@gmail.com,UTC -5,,,,Sunday;Saturday,Sunday;Saturday,Wednesday;Thursday;Friday,,,,,,,,,
2022/03/14 4:41:47 PM MDT,asurite63@asu.edu,asurite63,A_63,A63@gmail.com,UTC -7,,,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,
2022/03/14 5:01:16 PM MDT,asurite64@asu.edu,asurite64,A_64,A64@gmail.com,UTC -6,,,,,,Monday;Wednesday;Thursday,Monday;Wednesday;Thursday,Sunday;Monday;Tuesday;Wednesday;Thursday;Saturday,,,,,,,
2022/03/14 5:11:36 PM MDT,asurite65@asu.edu,asurite65,A_65,A65@gmail.com,UTC -7,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Monday;Tuesday;Wednesday,Monday;Tuesday,,,,,,,,,
2022/03/14 6:11:34 PM MDT,asurite66@asu.edu,asurite66,A_66,A66@gmail.com,UTC -5,,,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,asurite57,asurite89,asurite53,asurite70,,,
2022/03/14 6:52:50 PM MDT,asurite67@asu.edu,asurite67,A_67,A67@gmail.com,UTC -5,,,,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,
2022/03/14 6:56:16 PM MDT,asurite68@asu.edu,asurite68,A_68,A68@gmail.com,UTC -7,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,,,
2022/03/14 7:19:59 PM MDT,asurite69@asu.edu,asurite69,A_69,A69@gmail.com,UTC -7,,,,,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,asurite8,,
2022/03/14 7:39:10 PM MDT,asurite70@asu.edu,asurite70,A_70,A70@gmail.com,UTC -5,,,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,asurite89,asurite79,asurite8,asurite66,,,
2022/03/14 7:41:36 PM MDT,asurite71@asu.edu,asurite71,A_71,A71@gmail.com,UTC -7,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,asurite6,asurite107,asurite101,asurite102,,,
2022/03/14 8:56:57 PM MDT,asurite72@asu.edu,asurite72,A_72,A72@gmail.com,UTC -6,,,,Sunday;Saturday,Sunday;Saturday,Sunday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Friday;Saturday,,,,,asurite58,,
