Username,Please select your ASURITE ID,Please enter your Github username (NOT your email address),Email address for us to invite you to the Taiga scrumboard,In what time zone do you live or will you be during the session? Please use UTC so we can match it easier.,"Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [0:00 AM - 3:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [3:00 AM - 6:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [6:00 AM - 9:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [9:00 AM - 12:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [12:00 PM - 3:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [3:00 PM - 6:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [6:00 PM - 9:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [9:00 PM - 12:00 PM]","How well would you say you know GitHub? (1 not at all, 5 worked with it a lot - know how to merge, resolve conflicts, etc.) You are not expected to know GitHub well yet, so please be honest. It will not be used for grading what you put here but I want to try to have one student knowing GitHub in each team to make things easier.","Do you know Scrum already? (1 just heard about it, 5 know it well (process, roles). You are not expected to know Scrum yet, so please be honest. It will not be used for grading what you put here. ",Preferred team member 1,Preferred team member 2,Preferred team member 3,Preferred team member 4,Preferred team member 5,Non-preferred student 1,Non-preferred student 2,Non-preferred student 3
asurite25@asu.edu,asurite25,A_25,A25@gmail.com,UTC -6,,,,Sunday;Monday;Tuesday;Thursday;Friday,Sunday;Monday;Tuesday;Thursday,Sunday;Monday;Tuesday;Thursday,,,3,3,asurite32,asurite37,asurite10,,,,,
asurite26@asu.edu,asurite26,A_26,A26@gmail.com,UTC -5,,,Sunday;Thursday;Friday;Saturday,Sunday;Thursday;Friday;Saturday,Sunday;Thursday;Friday;Saturday,Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,1,1,asurite28,asurite9,asurite13,asurite1,asurite5,,,
asurite27@asu.edu,asurite27,A_27,A27@gmail.com,UTC -7,,,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,2,1,asurite56,asurite4,,,,asurite54,,
asurite28@asu.edu,asurite28,A_28,A28@gmail.com,UTC -7,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,1,1,asurite26,asurite9,asurite1,asurite13,asurite5,asurite6,,
asurite29@asu.edu,asurite29,A_29,A29@gmail.com,UTC -6,,,,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,,3,3,asurite52,,,,,,,
asurite30@asu.edu,asurite30,A_30,A30@gmail.com,UTC -7,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Saturday,Sunday;Monday;Saturday,Sunday;Monday;Thursday;Saturday,2,1,asurite11,asurite22,asurite24,asurite5,asurite2,asurite47,asurite52,asurite17
asurite31@asu.edu,asurite31,A_31,A31@gmail.com,UTC -8,,,Sunday;Monday;Tuesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Thursday;Friday;Saturday,Wednesday;Thursday;Friday,Wednesday;Thursday;Friday,Wednesday;Thursday;Friday,Wednesday;Thursday;Friday,3,3,,,,,,,,
asurite32@asu.edu,asurite32,A_32,A32@gmail.com,UTC -7,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,3,1,asurite25,asurite10,asurite37,,,,,
asurite33@asu.edu,asurite33,A_33,A33@gmail.com,UTC -7,Sunday;Friday;Saturday,Sunday;Friday;Saturday,Sunday;Friday;Saturday,Sunday;Friday;Saturday,,Sunday;Friday;Saturday,Sunday;Friday;Saturday,Sunday;Friday;Saturday,2,1,,,,,,,,
asurite34@asu.edu,asurite34,A_34,A34@gmail.com,UTC -5,,,,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,4,5,asurite18,asurite20,,,,,,
asurite35@asu.edu,asurite35,A_35,A35@gmail.com,UTC -7,,,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,3,1,,,,,,,,
asurite36@asu.edu,asurite36,A_36,A36@gmail.com,UTC -6,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Saturday,Saturday,,,3,2,,,,,,asurite15,,
asurite37@asu.edu,asurite37,A_37,A37@gmail.com,UTC +3,,,Sunday;Monday;Thursday;Saturday,Sunday;Monday;Thursday;Saturday,Sunday;Monday;Thursday,Sunday;Monday;Thursday,Sunday;Monday;Thursday,Sunday;Monday;Thursday,1,1,asurite32,asurite25,,,,,,
asurite38@asu.edu,asurite38,A_38,A38@gmail.com,UTC -7,,,Monday;Tuesday;Wednesday;Friday;Saturday,Monday;Tuesday;Wednesday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,1,1,,,,,,,,
asurite39@asu.edu,asurite39,A_39,A39@gmail.com,UTC -7,,,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,2,1,,,,,,,,
asurite40@asu.edu,asurite40,A_40,A40@gmail.com,UTC -8,,,,Monday;Tuesday;Wednesday;Thursday;Friday,,,Monday;Tuesday;Wednesday;Thursday;Friday,,2,2,,,,,,,,
asurite41@asu.edu,asurite41,A_41,A41@gmail.com,UTC -7,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,5,5,,,,,,,,
asurite42@asu.edu,asurite42,A_42,A42@gmail.com,UTC -5,,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,2,1,,,,,,,,
asurite43@asu.edu,asurite43,A_43,A43@gmail.com,UTC -7,,,,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,1,1,,,,,,,,
asurite44@asu.edu,asurite44,A_44,A44@gmail.com,UTC -7,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,2,2,asurite28,asurite6,asurite35,asurite42,asurite18,,,
asurite45@asu.edu,asurite45,A_45,A45@gmail.com,UTC -7,,,,,,Monday;Tuesday;Wednesday;Thursday,Tuesday;Wednesday;Thursday,,2,1,,,,,,,,
asurite46@asu.edu,asurite46,A_46,A46@gmail.com,UTC -7,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,3,1,,,,,,,,
asurite47@asu.edu,asurite47,A_47,A47@gmail.com,UTC +3,,,,,,,,,3,1,,,,,,,,
asurite48@asu.edu,asurite48,A_48,A48@gmail.com,UTC -5,,,,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,3,1,,,,,,,,
asurite49@asu.edu,asurite49,A_49,A49@gmail.com,UTC -7,,,Tuesday;Friday;Saturday,Tuesday;Friday;Saturday,Tuesday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Saturday,,4,2,,,,,,,,
asurite50@asu.edu,asurite50,A_50,A50@gmail.com,UTC -7,,,,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,1,1,,,,,,,,
asurite51@asu.edu,asurite51,A_51,A51@gmail.com,UTC -4,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday,Sunday;Friday,Sunday;Friday,Sunday;Friday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Friday,2,1,,,,,,,,
asurite52@asu.edu,asurite52,A_52,A52@gmail.com,UTC -4,,Sunday;Saturday,Sunday;Saturday,Sunday;Thursday;Friday;Saturday,Sunday;Wednesday;Thursday;Friday;Saturday,Sunday;Thursday;Friday;Saturday,Sunday;Thursday;Friday;Saturday,,3,3,asurite30,asurite29,,,,,,
asurite53@asu.edu,asurite53,A_53,A53@gmail.com,UTC -4,,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,4,2,,,,,,,,
asurite54@asu.edu,asurite54,A_54,A54@gmail.com,UTC +2,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,2,1,asurite45,asurite58,asurite31,asurite4,asurite31,,,
asurite55@asu.edu,asurite55,A_55,A55@gmail.com,UTC -7,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,3,2,,,,,,,,
